Thousand million barrels,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
US,36.53,36.49,35.08,35.64,36.09,36.36,35.05,35.40,35.06,34.27,33.84,32.15,31.20,30.18,29.63,29.75,29.84,30.52,28.56,29.67,30.39,30.44,30.67,29.35,29.30,29.92,29.44,30.46,28.40,30.87,34.99,39.78,44.18,44.18
Canada,39.53,40.18,40.31,40.49,40.53,40.94,41.10,41.20,41.47,41.30,40.29,40.10,39.63,39.50,48.15,48.37,48.94,48.80,49.82,181.56,181.50,180.94,180.40,180.37,180.04,180.49,179.81,178.83,176.26,175.87,175.22,174.59,174.32,174.32
Mexico,47.22,57.00,57.00,57.10,56.41,55.59,54.88,54.11,53.01,51.98,51.30,50.92,51.22,50.78,49.78,48.80,48.47,47.82,21.64,21.52,20.19,18.77,17.20,16.04,14.80,13.67,12.85,12.19,11.87,11.87,11.69,11.39,11.42,11.08
Argentina,2.46,2.17,1.95,2.45,2.35,2.24,2.23,2.25,2.28,2.17,1.57,1.68,2.02,2.22,2.25,2.39,2.60,2.62,2.75,3.07,2.97,2.88,2.82,2.67,2.48,2.18,2.59,2.62,2.52,2.51,2.52,2.53,2.35,2.35
Brazil,1.32,1.48,1.72,1.85,2.02,2.17,2.36,2.55,2.82,2.76,4.51,4.82,4.97,4.98,5.37,6.22,6.68,7.11,7.36,8.15,8.46,8.49,9.80,10.60,11.24,11.77,12.18,12.62,12.80,12.88,14.25,15.05,15.31,15.59
Colombia,0.55,0.53,0.61,0.64,1.10,1.24,1.70,1.91,2.05,1.98,1.99,1.88,3.23,3.16,3.14,2.95,2.80,2.58,2.48,2.29,1.97,1.84,1.63,1.54,1.48,1.45,1.51,1.51,1.36,1.36,1.90,1.99,2.20,2.38
Ecuador,0.97,0.90,0.91,0.88,1.14,1.15,1.24,1.59,1.51,1.44,1.36,1.52,3.24,3.66,3.49,3.39,3.45,3.67,4.10,4.43,4.57,4.63,5.06,5.06,5.06,4.87,4.46,4.00,6.52,6.33,6.16,7.21,8.38,8.19
Peru,0.63,0.88,0.78,0.70,0.67,0.59,0.54,0.48,0.85,0.85,0.82,0.82,0.80,0.80,0.83,0.81,0.77,0.76,0.94,0.89,0.91,0.98,0.95,0.93,1.10,1.08,1.10,1.12,1.12,1.12,1.24,1.21,1.42,1.42
Trinidad & Tobago,0.57,0.57,0.63,0.54,0.57,0.61,0.56,0.62,0.61,0.62,0.60,0.57,0.54,0.56,0.56,0.66,0.72,0.71,0.74,0.82,0.85,0.96,1.13,0.89,0.81,0.80,0.79,0.87,0.83,0.83,0.83,0.83,0.83,0.83
Venezuela,19.53,19.89,24.90,25.89,28.03,54.45,55.52,58.10,58.51,59.04,60.05,62.65,63.33,64.45,64.88,66.33,72.67,74.93,76.11,76.85,76.85,77.68,77.31,77.23,79.73,80.01,87.32,99.38,172.32,211.17,296.50,297.57,297.57,298.35
Azerbaijan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.18,1.18,1.18,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
Denmark,0.45,0.37,0.33,0.31,0.47,0.45,0.40,0.40,0.54,0.63,0.59,0.62,0.75,0.70,0.75,0.91,0.86,0.94,0.88,0.91,1.11,1.35,1.28,1.28,1.33,1.28,1.16,1.11,0.81,0.92,0.90,0.81,0.73,0.67
Italy,0.38,0.38,0.42,0.43,0.62,0.64,0.64,0.68,0.80,0.76,0.76,0.83,0.64,0.64,0.76,0.77,0.76,0.85,0.85,0.89,0.86,0.83,0.80,0.84,0.80,0.80,0.83,0.88,0.98,0.97,1.42,1.38,1.38,1.38
Kazakhstan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,5.40,5.40,5.40,5.40,9.00,9.00,9.00,9.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Norway,3.95,3.95,3.82,4.89,4.96,5.90,6.49,6.64,8.16,8.42,8.63,8.81,9.74,9.57,9.70,10.80,11.68,12.04,11.66,10.94,11.37,11.60,10.45,10.15,9.72,9.69,8.55,8.17,7.49,7.08,6.77,6.88,9.21,8.68
Romania,1.09,1.01,0.96,1.59,1.51,1.44,1.36,1.29,1.23,1.20,1.52,1.49,1.24,1.01,1.00,1.01,0.98,0.93,1.16,1.23,1.17,1.15,0.51,0.49,0.47,0.46,0.48,0.48,0.48,0.60,0.60,0.60,0.60,0.60
Russian Federation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.34,67.93,69.03,72.45,76.08,79.01,82.19,82.29,83.34,86.35,87.59,88.30,89.74,90.96,92.12,93.03
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60
United Kingdom,8.44,7.88,7.46,6.94,6.00,5.63,5.32,5.18,4.28,3.83,4.01,4.16,4.57,4.54,4.31,4.54,4.99,5.18,5.14,4.99,4.72,4.54,4.46,4.28,4.00,3.87,3.59,3.39,3.06,2.84,2.81,3.10,3.04,3.04
Uzbekistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Iran,58.30,57.02,56.15,55.26,58.87,59.00,92.86,92.86,92.86,92.86,92.85,92.86,92.86,92.86,94.30,93.70,92.60,92.60,93.70,93.10,99.53,99.08,130.69,133.25,132.74,137.49,138.40,138.22,137.62,137.01,151.17,154.58,157.00,157.00
Iraq,30.00,32.00,59.00,65.00,65.00,65.00,72.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,112.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,143.10,150.00,150.00
Kuwait,67.93,67.73,67.15,67.00,92.71,92.46,94.52,94.53,94.53,97.13,97.03,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,96.50,99.00,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50,101.50
Oman,2.48,2.94,3.40,3.50,3.90,4.07,4.04,4.11,4.14,4.29,4.35,4.35,4.74,5.00,5.10,5.20,5.30,5.40,5.40,5.74,5.85,5.90,5.71,5.57,5.57,5.57,5.57,5.57,5.57,5.50,5.50,5.50,5.50,5.50
Qatar,3.59,3.45,3.42,3.33,4.50,4.50,4.50,4.50,4.50,4.50,2.99,2.99,3.12,3.12,3.50,3.70,3.70,12.50,13.49,13.10,16.87,16.84,27.60,27.02,26.86,27.91,27.44,27.32,26.83,25.91,24.68,23.90,25.23,25.06
Saudi Arabia,168.03,167.85,165.48,168.85,171.71,171.49,169.74,169.59,254.99,260.05,260.34,260.94,261.20,261.36,261.37,261.45,261.44,261.54,261.54,262.78,262.77,262.70,262.79,262.73,264.31,264.21,264.25,264.21,264.06,264.59,264.52,265.40,265.85,265.85
