,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Austria,16  ,16  ,17  ,17  ,17  ,15  ,15  ,15  ,14  ,13  ,10  ,11  ,15  ,12  ,16  ,15  ,16  ,25  ,26  
Belgium a),19  ,20  ,26  ,28  ,29  ,25  ,24  ,20  ,17  ,17  ,19  ,20  ,21  ,18  ,21  ,22  ,19  ,16  ,15  
Bulgaria,,,,66  ,63  ,52  ,47  ,45  ,54  ,54  ,55  ,57  ,64  ,72  ,71  ,73  ,86  ,75  ,77  
Cyprus,,,,,,,,,27  ,36  ,37  ,37  ,39  ,31  ,27  ,28  ,30  ,29  ,31  
Czech Republic,,,27  ,37  ,39  ,42  ,47  ,52  ,54  ,51  ,47  ,46  ,41  ,45  ,52  ,53  ,57  ,54  ,57  
Denmark,2  ,2  ,1  ,1  ,1  ,2  ,2  ,2  ,3  ,3  ,4  ,4  ,1  ,1  ,2  ,1  ,2  ,1  ,1  
Estonia,,,,26  ,27  ,27  ,28  ,29  ,33  ,31  ,27  ,24  ,28  ,27  ,27  ,26  ,29  ,32  ,28  
Finland,4  ,4  ,2  ,2  ,2  ,1  ,1  ,1  ,1  ,1  ,2  ,1  ,1  ,5  ,6  ,4  ,2  ,1  ,3  
France,18  ,19  ,20  ,21  ,22  ,21  ,23  ,25  ,23  ,22  ,18  ,18  ,19  ,23  ,24  ,25  ,25  ,22  ,22  
Germany,13  ,13  ,13  ,15  ,14  ,17  ,20  ,18  ,16  ,15  ,16  ,16  ,16  ,14  ,14  ,15  ,14  ,13  ,12  
Greece,30  ,28  ,25  ,36  ,36  ,35  ,42  ,44  ,50  ,49  ,47  ,54  ,56  ,57  ,71  ,78  ,80  ,94  ,80  
Hungary,28  ,31  ,28  ,33  ,31  ,32  ,31  ,33  ,40  ,42  ,40  ,41  ,39  ,47  ,46  ,50  ,54  ,46  ,47  
Ireland,11  ,11  ,12  ,14  ,15  ,19  ,18  ,23  ,18  ,17  ,19  ,18  ,17  ,16  ,14  ,14  ,19  ,25  ,21  
Italy,33  ,34  ,30  ,39  ,38  ,39  ,29  ,31  ,35  ,42  ,40  ,45  ,41  ,55  ,63  ,67  ,69  ,72  ,69  
Latvia,,,,71  ,58  ,57  ,59  ,52  ,57  ,57  ,51  ,49  ,51  ,52  ,56  ,59  ,61  ,54  ,49  
Lithuania,,,,,50  ,43  ,38  ,36  ,41  ,44  ,44  ,46  ,51  ,58  ,52  ,46  ,50  ,48  ,43  
Luxembourg,,,,11  ,11  ,11  ,9  ,7  ,11  ,13  ,13  ,11  ,12  ,11  ,12  ,11  ,11  ,12  ,11  
Malta,,,,,,,,,,25  ,25  ,28  ,33  ,36  ,45  ,37  ,39  ,43  ,45  
Netherlands,9  ,9  ,6  ,8  ,8  ,9  ,8  ,7  ,7  ,10  ,11  ,9  ,7  ,7  ,6  ,7  ,7  ,9  ,8  
Poland,,24  ,29  ,39  ,44  ,43  ,44  ,45  ,64  ,67  ,70  ,61  ,61  ,58  ,49  ,41  ,41  ,41  ,38  
Portugal,22  ,22  ,19  ,22  ,21  ,23  ,25  ,25  ,25  ,27  ,26  ,26  ,28  ,32  ,35  ,32  ,32  ,33  ,33  
Romania,,,37  ,61  ,63  ,68  ,69  ,77  ,83  ,87  ,85  ,84  ,69  ,70  ,71  ,69  ,75  ,66  ,69  
Slovak Republic,,,,47  ,53  ,52  ,51  ,52  ,59  ,57  ,47  ,49  ,49  ,52  ,56  ,59  ,66  ,62  ,61  
Slovenia,,,,,25  ,28  ,34  ,27  ,29  ,31  ,31  ,28  ,27  ,26  ,27  ,27  ,35  ,37  ,43  
Spain,26  ,32  ,24  ,23  ,22  ,20  ,22  ,20  ,23  ,22  ,23  ,23  ,25  ,28  ,32  ,30  ,31  ,30  ,40  
Sweden,5  ,3  ,3  ,3  ,3  ,3  ,6  ,5  ,6  ,6  ,6  ,6  ,4  ,1  ,3  ,4  ,4  ,4  ,3  
United Kingdom,11  ,12  ,14  ,11  ,13  ,10  ,13  ,10  ,11  ,11  ,11  ,11  ,12  ,16  ,17  ,20  ,16  ,17  ,14  
,,,,,,,,,,,,,,,,,,,
Croatia,,,,,74  ,51  ,47  ,51  ,59  ,67  ,70  ,69  ,64  ,62  ,66  ,62  ,66  ,62  ,57  
Iceland,,,,5  ,5  ,6  ,4  ,4  ,2  ,3  ,1  ,1  ,6  ,7  ,8  ,11  ,13  ,11  ,12  
Macedonia,,,,,63  ,,,,106  ,97  ,103  ,105  ,84  ,72  ,71  ,62  ,69  ,69  ,67  
Montenegro b),,,,,,,,,106  ,97  ,97  ,,84  ,85  ,69  ,69  ,66  ,75  ,67  
Serbia b),,,,,,,,,106  ,97  ,97  ,90  ,79  ,85  ,83  ,78  ,86  ,80  ,72  
,,,,,,,,,,,,,,,,,,,
Norway,10  ,6  ,7  ,8  ,9  ,6  ,10  ,12  ,8  ,8  ,8  ,8  ,9  ,14  ,11  ,10  ,6  ,7  ,5  
Switzerland,8  ,8  ,11  ,10  ,9  ,11  ,12  ,12  ,8  ,7  ,7  ,7  ,7  ,5  ,5  ,8  ,8  ,6  ,7  
